Nº Contrato;Apelido Cliente;Nome Cliente;Categoria Cliente;Contato;Fone;Email;Referência;Status;Tipo Contrato;Início Vigência;Fim Vigência;Data Cadastro;Próx. Reajuste;Obs
"418";"35959576000165 PONTA UBU AGR";"PONTA UBU AGROPECUARIA LTDA";;"Juliana";"21 99133-6716";"fazenda_ubu@hotmail.comnfs01@atasistemas.com.br";"VALOR R$119,00 MENSAL - PONTO RHID 20F";"ATIVO";"Ponto ControlID";"04/08/2025";"04/08/2026";"08/08/2025 15:04";"04/08/2026";"Sistema de Ponto:||- Licença mensal do software de Ponto RHiD para até 20 funcionários."
"2318";"43632914000188 BL COMERCIO DE";"BL COMERCIO DE VESTUARIOS LTDA";;"Financeiro";;"vicenzomodahomem@gmail.comnfs01@atasistemas.com.br";"Valor R$216,48 Mensal | Locação iDClass + RHiD";"ATIVO";"Ponto ControlID + Locação REP";"20/11/2023";"20/11/2026";"07/11/2024 17:55";"20/11/2026";"Descrição: Locação de equipamentos de controle de ponto.|  NS 00014007350175370|- Locação de Relógio de Ponto iDClass Biometria e Proximidade.|- Licença Mensal do Software RHiD ( Até 10 funcionários )|- Serviço técnico de apoio e suporte remoto.||25/11/2025 - Renovação por IGPM.|Em percentual:   6,5556%|Em fator de multiplicação:   1,065556|Os valores do índice utilizados neste cálculo foram:|Novembro-2023 = 0,59% Dezembro-2023 = 0,74% Janeiro-2024 = 0,07% Fevereiro-2024 = -0,52% Março-2024 = -0,47% Abril-2024 = 0,31% Maio-2024 = 0,89% Junho-2024 = 0,81% Julho-2024 = 0,61% Agosto-2024 = 0,29% Setembro-2024 = 0,62% Outubro-2024 = 1,52% Novembro-2024 = 1,30% Dezembro-2024 = 0,94% Janeiro-2025 = 0,27% Fevereiro-2025 = 1,06% Março-2025 = -0,34% Abril-2025 = 0,24% Maio-2025 = -0,49% Junho-2025 = -1,67% Julho-2025 = -0,77% Agosto-2025 = 0,36% Setembro-2025 = 0,42% Outubro-2025 = -0,36%.|Valor atualizado  =  valor * fator  =  R$203,16 * 1,065556|Valor atualizado  =  R$216,48"
"2247";"27751320000130 CCB CENTRAL DE";"CCB CENTRAL DE COMPRAS DO BRASIL LTDA";;"Financeiro";"27992981138";"rh02@centraldecompras.com.brrh01@centraldecompras.com.brnfs01@atasistemas.com.br";"Valor R$412,22 | Mensal | RHiD";"ATIVO";"Ponto ControlID";"07/11/2023";"07/11/2026";"07/11/2024 17:55";"07/11/2026";"Descrição: Contrato de manutenção de sistema de ponto.||- Licença Mensal do Software RHiD ( Até 130 funcionários )|- Serviço técnico de apoio e suporte remoto.||12/11/2025  - Renovação por IGPM.|Em percentual:   6,5556%|Em fator de multiplicação:   1,065556|Os valores do índice utilizados neste cálculo foram:|Novembro-2023 = 0,59% Dezembro-2023 = 0,74% Janeiro-2024 = 0,07% Fevereiro-2024 = -0,52% Março-2024 = -0,47% Abril-2024 = 0,31% Maio-2024 = 0,89% Junho-2024 = 0,81% Julho-2024 = 0,61% Agosto-2024 = 0,29% Setembro-2024 = 0,62% Outubro-2024 = 1,52% Novembro-2024 = 1,30% Dezembro-2024 = 0,94% Janeiro-2025 = 0,27% Fevereiro-2025 = 1,06% Março-2025 = -0,34% Abril-2025 = 0,24% Maio-2025 = -0,49% Junho-2025 = -1,67% Julho-2025 = -0,77% Agosto-2025 = 0,36% Setembro-2025 = 0,42% Outubro-2025 = -0,36%.|Valor atualizado  =  valor * fator  =  R$386,86 * 1,065556|Valor atualizado  =  R$412,22|"
"2512";"27244680000145 CEDISA CENTRAL";"CEDISA CENTRAL DE ACO S/A";;"Financeiro";"(27) 2123-3233";"ariston@cedisa.com.brCompras1@cedisa.com.brnfs01@atasistemas.com.br";"INTERROMPIDO | Locação Mensal Acesso com Suporte Remoto";"CANCELADO";"SERVIÇOS";"01/03/2024";"01/03/2026";"07/11/2024 17:55";"01/03/2026";"OBS: Pagamentos apenas TERÇA E SEXTA-FEIRA.||REAJUSTA NO INPC"
"2660";"65514184000234 CHENSON COMERCI";"CHENSON COMERCIO EXTERIOR LTDA";;"Financeiro";;"rh.vix@republicvix.com.brregiane@chenson.com.brJaqueline@chenson.com.brnfs01@atasistemas.com.br";"Active - Mensal RHiD";"ATIVO";"Ponto ControlID";"05/06/2024";"05/06/2026";"07/11/2024 17:55";"05/06/2026";"Descrição: Serviço de manutenção ao software de ponto.||Licença do Software RHiD ( 20 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||*EMPRESAS DO GRUPO (BANCO DE DADOS SEPARADO PARA CADA EMPRESA)|BEST BAG COMERCIO DE BOLSAS E ACESSORIOS LTDA | 27428062000155|VG GABAR DISTRIBUIDORA E COMERCIO EXTERIOR LTDA | 13563043000127|CHENSON COMERCIO EXTERIOR LTDA | 65514184000234|REPUBLIC. VIX COMERCIO EXTERIOR LTDA | 07170062000190||Linha do Tempo:|25/07/2025 - Renovação por IGPM. Acréscimo de 7,02% passando de R$100,00 para R$107,03"
"2555";"48974910000100-CHOE'S ALIMENTO";"CHOE'S ALIMENTOS BOULEVARD LTDA";;"Financeiro";;"notas@choesrestaurantes.com.brmarques@choesrestaurantes.com.brnfs01@atasistemas.com.br";"INTERROMPIDO | Active - Mensal Ponto Web";"CANCELADO";"Ponto Secullum";"22/04/2024";"22/04/2026";"07/11/2024 17:55";"22/04/2026";"Linha do tempo:|Reajuste IGPM de 8,58% - passando de R$321,33 para R$348,92||Cliente solicitou alteração do cnpj para faturamento:|Novo CNPJ 48974910000100 - CHOES"
"2771";"28386134000101 COMERCIAL CARRE";"COMERCIAL CARRETEIRO LTDA";;"Financeiro";"2737641150";"posto@carreteiro.comalexandre@carreteiro.commarciocpsalgado@gmail.comnfs01@atasistemas.com.br";"Active - R$298,43 - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"03/09/2024";"03/09/2026";"07/11/2024 17:55";"03/09/2026";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Mensal do Software secullum ( Até 40 funcionários )|- Serviço técnico de apoio e suporte remoto.||22/09/2025 Renovação por IGPM. Acréscimo de 3,03%. Passando de R$289,64 para R$298,43."
"2607";"09399142000148 - CONDOMINIO RE";"CONDOMINIO RESIDENCIAL ILE DE FRANCE";;"cliente";"27996220561";"condominio@contacel.com.br";"Active - Anual Ponto Offline sem Nuvem";"ATIVO";"SERVIÇOS";"01/07/2024";"01/07/2026";"07/11/2024 17:55";"01/07/2026";"Item: Contrato de manutenção de sistema de ponto|Licença Ponto Secullum Offline - Licença Anual do Software de Gerenciamento de Ponto|Secullum ( Até 10 funcionários ) + Suporte Remoto Total||* 10/02/2025: Licença venceu antes do término do contrato. Para restituir os dias inativos, foi renegociado que o cliente teria uns dias a mais do contrato (fim de vigência do dia 01/07 para 08/07)||OBS.: Dta de início era 11/11/2023. Após renegociação com o cliente que ficou inadimplente, o contrato ficou nos moldes que se encontra no SIGE e as parcelas foram pagas à vista via PIX. Contrato anexo.||02/06/2025: disparado e-mail para renovação."
"2525";"06149412000174 MAR DAS ANTILHA";"CONDOMINIO RESIDENCIAL MAR DAS ANTILHAS";;"Financeiro";"27 3349 0837";"admmardasantilhas@gmail.comnfs01@atasistemas.com.br";"Valor R$ 199,80 I Active - Mensal TopPonto Web";"ATIVO";"Ponto Topdata";"03/04/2024";"03/04/2026";"07/11/2024 17:55";"03/04/2026";"Leonardo Rodrigues | (27) 99720-5765|Descrição: Serviço de manutenção ao software de ponto.||- Licença do TopPonto Web ( 20 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||03/12/2024 - Upgrade para +10 funcionários ativos no software TopPonto Web, passando de 20 para até 30 funcionários ativos. Acréscimo de R$ 25,00, passando de R$ 159,00 para R$ 184,00 mensais."
"2522";"UNION EXPRESS - VILA PLATINA";"UNION EXPRESS - VILA PLATINA";;"financeiro";;"Condominioreservadoparque@outlook.comcondominio@contacel.com.brcond08@contacel.com.br";"Active - Mensal RHiD";"ATIVO";"Ponto ControlID";"02/04/2024";"02/04/2025";"07/11/2024 17:55";"02/04/2025";"Descrição: Serviço de manutenção ao software de ponto.|- Licença do Software RHiD ( 10 funcionários ativos ) + Serviço técnico de apoio e suporte remoto."
"2328";"DAY BY DAY VINHOS LTDA";"DAY BY DAY VINHOS LTDA";;"financeiro";;"elione.silva@comprocard.com.br";"Active - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"06/11/2023";"06/12/2023";"07/11/2024 17:55";"06/12/2023";"Descrição: Contrato de manutenção de sistema de ponto.||- Licença Mensal do Ponto Secullum Web ( Até 100 funcionários )|- Serviço técnico de apoio e suporte remoto.|Empresas do banco de dados:|R$ 199,80  -  30549651000104 — COMPROPAY MEIOS DE PAGAMENTOS"
"2474";"27251529000134 DENTAL CAPIXABA";"DENTAL CAPIXABA LTDA";;"Financeiro";;"lilia@dentalcapixaba.com.brnfs01@atasistemas.com.br";"Valor R$255,13 Mensal | Ponto Web";"ATIVO";"Ponto Secullum";"05/02/2024";"05/02/2027";"07/11/2024 17:55";"05/02/2027";"Lillia | 27 99878-3767|Descrição: Serviço de manutenção ao software de ponto.||Licença do Ponto Secullum Web Pro ( 30 funcionários ativos ) + Serviço técnico de apoio e suporte remoto."
"2440";"00840621000183 DONIEDA ALIMENT";"DONIEDA ALIMENTOS LTDA";;"Financeiro";"(27)99958-4852";"doniedaoficial@gmail.comgumercindobrazcorona@gmail.comnfs01@atasistemas.com.br";"Valor R$416,00 Mensal | Locação Acesso com Suporte Remoto";"ATIVO";"SERVIÇOS";"05/02/2024";"05/02/2027";"07/11/2024 17:55";"05/02/2027";"Descrição: Serviço de manutenção de licença de software de gerenciamento de acesso.||Restaurante do IFES de Itapina - Colatina |Locação MENSAL do software BMA W.Acesso Refeitório ( 1 Server | 2 Equipamentos )"
"2670";"33213468000113-ELEMENTAR VITOR";"ELEMENTAR VITORIA COMERCIO DE MEDICAMENTOS LTDA";;"Financeiro";"(27) 3100-7022";"vitoria@farmaciaelementar.com.brlabvitoria@farmaciaelementar.com.brnfs01@atasistemas.com.br";"Active - Mensal RHiD";"ATIVO";"Ponto ControlID";"07/07/2024";"07/07/2026";"07/11/2024 17:55";"07/07/2026";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Mensal do Software de Ponto Nuvem RHiD ( Até 10 funcionários )|- Serviço técnico de apoio e suporte remoto.||16/07/2025 Renovação por IGPM. Acréscimo de 4,39%. Passando de R$159,00 para R$165,99"
"2376";"18353008000105 AIRES SERVICOS";"AIRES SERVICOS AMBIENTAIS LTDA";;"Financeiro";"272142-0868";"financeiro@aires.com.brbrunely.paiva@aires.com.brgisele.silva@aires.com.bralexandra.pena@aires.com.brnfs01@atasistemas.com.br";"Valor R$535,46 Mensal | Ponto Web";"ATIVO";"Ponto Secullum";"12/11/2023";"12/11/2026";"07/11/2024 17:55";"12/11/2026";"Descrição: Contrato de manutenção de sistema de ponto.||17/12/2024 - RENOVADO CONTRATO REAJUSTE DE 6,32% IGPM R$ 499,00 PARA R$ 530,56|*23/01/2024 - Adicional de +10 funcionários no software Ponto Secullum Web, passando de 90 para 100 funcionários ativos. Acréscimo de R$ 40,00, passando de R$ 459,00 para R$ 499,00|*05/12/2022 - Contrato renovado desconsiderando o reajuste anual do IGPM e reduzindo o valor passando de R$ 509,00 para o valor de R$ 459,00, conforme acordo entre as Partes.|* 01/06/2022 - Adicional de +20 funcionários passando de 70 para o total de 90 funcionários ativos.|Adicional de R$ 136,08 passando de R$ 372,92 para o valor mensal de R$ 509,00.||* 29/03/2021 - Alteração de limite para Até 60 funcionários ativos (+10 func) + R$ 50,00/mês, passando de R$ 249,00 para 299,00.||- Licença Mensal do Ponto Secullum Web ( Até 50 funcionários )|- Serviço técnico de apoio e suporte remoto."
"2362";"08790352000108 ALMEIDA FERRAZ";"ALMEIDA FERRAZ MARKETING E SERVICOS LTDA";;"Financeiro";;"pessoaswferraz@gmail.comwf@grupowferraz.comfinanceiro@wferraz.comnfs01@atasistemas.com.br";"Valor R$ 111,35 Mensal I Ponto Web 20F";"ATIVO";"Ponto Secullum";"06/11/2023";"06/11/2026";"07/11/2024 17:55";"06/11/2026";"Produto: Contrato de manutenção de sistema de ponto|Licença Mensal do Software Web de Gerenciamento de|Ponto Secullum ( Até 20 funcionários / 2 CNPJs ) + Aplicativo para smartphone (Android e|iOS) + Suporte Remoto Total||Faturamento separado entre empresas:|ALMEIDA FERRAZ MARKETING E SERVICOS LTDA – 08790352000108 - 09 funcionários|VETOR MARKETING E PUBLICIDADE LTDA - 31.568.560/0001-70 - 05 funcionários||05/12/2025 - Renovação por IGPM. Acréscimo de 2,82%. Passando de R$110,33 para R$111,35.||24/03/2025: Bloqueio por inadimplência.|02/04/2025: desbloqueio por adimplência.|30/06/2025: bloqueado por inadimplência.|03/07/2025: desbloqueado após adimplência."
"2246";"34162664000179 BLU FOOD";"BLU FOOD PARK LTDA";;"Financeiro";"27 99233-9760";"blufoodpark@gmail.comnfs01@atasistemas.com.br";"Valor R$183,53 Mensal | Locação iDClass + RHiD";"ATIVO";"Ponto ControlID + Locação REP";"29/09/2023";"29/09/2026";"07/11/2024 18:05";"29/09/2026";"Descrição: Locação de equipamentos de controle de ponto.||- Locação do Rep Control ID iDClass Biometria e Proximidade (NS 00014003750136012)|- Licença do Software RHiD ( 20 funcionários ativos )|- Serviço técnico de apoio e suporte remoto.||14/10/2025 - Renovação por IGPM. Acréscimo de 7,42%. Passando de R$170,85 para R$183,53"
"2692";"02373467000102-BNG METALMECANI";"BNG METALMECANICA LTDA";;"Financeiro";"0273182-2899";"financeiro2@bng-es.com.brnfe@bng-es.com.brdp@bng-es.com.brgil.santos@bng-es.com.brnfs01@atasistemas.com.br";"Contrato Mensal Suporte e Manutenção - On Site";"ATIVO";"Acesso Manutenção";"30/07/2024";"30/07/2026";"07/11/2024 18:05";"30/07/2026";"Descrição: Serviço de manutenção preventiva bimestral, corretiva, apoio, atualizações e evolução ao software||Contrato para 03 (três) catracas Control ID iDBlock Next considerando, durante a vigência do contrato:||- Manutenção preventiva bimestral e corretiva por demanda.|- Apoio técnico, atualização e evolução do software BMA WAcesso Empresa ( 1 Sever | 3 equipamentos )"
"2713";"36600828000128 COELHO FREIOS C";"COELHO FREIOS COMERCIO ATACADISTA DE PECAS PARA VEICULOS LTDA";;"Financeiro";"2733385000";"matheus@pontualfreios.com.brnfe@pontualfreios.com.brrh@pontualfreios.com.brnfs01@atasistemas.com.br";"Valor R$ 496,22 MENSAL";"ATIVO";"Ponto ControlID";"11/08/2024";"11/08/2026";"07/11/2024 17:55";"11/08/2026";"Descrição: Contrato de manutenção de sistema de ponto.||- Licença Mensal do Software RHiD ( Até 20 funcionários )|- Serviço técnico de apoio e suporte remoto.||FATURAR NO CNPJ 36.600.828/0001-28 - COELHO FREIOS COMERCIO ATACADISTA DE PEÇAS PARA VEICULOS||15/05/2025: bloq. por inadimplência.||18/08/2025 - Renovação por IGPM. Acréscimo de 2,96%. Passando de R$496,22 para R$510,91||* 26/09/2023 - Adicional para +30 funcionários, passando de 110 para o total de 140 funcionários ativos. Adicional de R$96,00, passando de R$ 382,00 para o valor mensal de R$ 478,00.|* 19/01/2023 - Adicional para +90 funcionários, passando de 20para o total de 110 funcionários ativos. Passando de R$ 159,00 para o valor mensal de R$ 352,00.|* 02/02/2023 - Adicional para Software Web de Gerenciamento de Ponto Control ID (+2 CNPJs). Passando de R$  352,00 para o valor mensal de R$ 382,00.|||# Faturar no CNPJ COELHO FREIOS COMERCIO ATACADISTA DE PEÇAS PARA VEICULOS LTDA – CNPJ 36.600.828/0001-28"
"2807";"37385047000120 ESDRIVES MRO AU";"ESDRIVES MRO AUTOMACAO E SERVICOS INDUSTRIAIS LTDA";;"Financeiro";;"atendimento@esdrivesmro.com.brantonio@esdrivesmro.com.brnfs01@atasistemas.com.br";"CANCELADO | Ponto Web";"CANCELADO";"Ponto Secullum";"04/10/2024";"04/10/2026";"07/11/2024 17:55";"04/10/2026";"Serviço de manutenção ao software de ponto.||Licença do Ponto Secullum Web ( Até 10 Funcionários)||06/10/2025 Renovação por IGPM. Acréscimo de 2,82%. Passando de R$149,00 para R$153,21"
"2577";"62616156000159-FORMAWORK SERVI";"FORMAWORK SERVICOS TEMPORARIOS LTDA";;"Financeiro";"(27)3331-5266";"grupoformaes@gmail.comnfs01@atasistemas.com.br";"Valor R$ 356,91 Mensal - Ponto Web";"ATIVO";"Ponto Secullum";"13/05/2024";"13/05/2026";"07/11/2024 17:55";"13/05/2026";"Descrição: Contrato de manutenção de sistema de ponto.||09/05/25 - Renovado por IGPM tendo acréscimo de 8,51% passando de R$328,92 para R$356,91||26/10/2021 - Inclusão de +30 funcionários ativos, passando para até 60 funcionários ativos.|Alteração do valor do contrato adicionando R$ 150,00, passando para R$ 299,00/mês.||- Licença Mensal do Ponto Secullum Web ( Até 30 funcionários )|- Serviço técnico de apoio e suporte remoto."
"2401";"27906810000168 HM COMERCIO DE";"HM COMERCIO DE PNEUMATICOS LTDA";;"Financeiro";"(27)3041-1818";"suporte@ghisolfi.com.brfaturamento@hmpneus.vix.brpagamentos@hmpneus.vix.brti@ghisolfi.com.brnfs01@atasistemas.com.br";"Valor R$681,72 Mensal | Ponto Web";"ATIVO";"Ponto Secullum";"12/12/2023";"12/12/2026";"07/11/2024 17:55";"12/12/2026";"Descrição: Contrato de manutenção de sistema de ponto.||19/01/2022 - Upgrade para a versão Ultimate, acrescendo o valor de R$ 159,60.|Passando do valor de R$ 399,00 para o valor mensal de R$ 558,60.||- Licença Mensal do Ponto Secullum Web ( Até 100 funcionários )|Empresas do banco de dados:|27906810000168 - HM COMERCIO DE PNEUMATICOS LTDA (SERRA)|27906810000249 - HM COMERCIO DE PNEUMATICOS LTDA (CARIACICA)|27906810000320 - HM COMERCIO DE PNEUMATICOS LTDA (LINHARES)|27906810000753 - HM COMERCIO DE PNEUMATICOS LTDA (COLATINA)|33661072000139 - GR COMERCIO DE PNEUMATICOS LTDA"
"2761";"45309252000135 IMPRI ETIQUETA";"IMPRI  ETIQUETAS ADESIVAS LTDA";;"Financeiro";"2730793379";"adm@imprimaisetiquetas.com.brgleica@imprimaisetiquetas.com.brgerencia@imprimaisetiquetas.com.brizabella@imprimaisetiquetas.com.brnfs01@atasistemas.com.br";"Active - R$201,71 - Mensal RHiD";"ATIVO";"Ponto ControlID";"09/09/2024";"09/09/2026";"07/11/2024 17:55";"09/09/2026";"Descrição: Contrato de manutenção de sistema de ponto.||- Licença Mensal do Software RHiD ( Até 20 funcionários )|- Serviço técnico de apoio e suporte remoto.||18/12/2024: UPGRADE: passando de 20 para até 30 funcionários ativos. Acréscimo de R$ 30,00 nas próximas parcelas, passando de R$ 165,77 para R$ 195,77 mensais||22/09/2025 - Renovação por IGPM. Acréscimo de R$3,03%. Passando de R$195,77 para R$201,71"
