Nº Contrato;Apelido Cliente;Nome Cliente;Categoria Cliente;Contato;Fone;Email;Referência;Status;Tipo Contrato;Início Vigência;Fim Vigência;Data Cadastro;Próx. Reajuste;Obs
"2329";"22134215000138 SKYSTONE";"SKYSTONE DO BRASIL LTDA";;"financeiro";;"diego.boni@skystonebrasil.com.brti@skystonebrasil.com.brnfs@atasistemas.com.br";"Ata - Manut. Preventiva, Corretiva e Garantia Estendida";"ATIVO";"Ponto Manutenção REP + GE";"05/12/2023";"05/12/2026";"04/11/2024 20:22";"05/12/2026";"Descrição: Serviço de manutenção preventiva, corretiva e garantia estendida ao controle de ponto.|Contrato para 03 (três) relógios de ponto Control ID iDClass considerando, durante a vigência do contrato:|- Manutenção preventiva trimestral|- Manutenção||LINHA DO TEMPO||08/12/2025- REAJUSTE DE CONTRATO IGPM (-0,1020%) PERMANECERA O MESMO VALOR R$ 377,75"
"2728";"TRANSMARKES - TRANSPORTES E LO";"TRANSMARKES - TRANSPORTES E LOGISTICA LTDA";;"financeiro";;"rh@transmarks.com.br";"Ata - Anual Ponto Offline sem Nuvem";"ATIVO";"Ponto Secullum Anual";"22/08/2024";"22/08/2025";"04/11/2024 20:22";"22/08/2025";"Descrição: Contrato de manutenção de sistema de ponto.|+ Licença Anual do Ponto Secullum 4 sem Módulo Web Nuvem (Cliente proprietário de licença vitalícia) - 18 Funcionários.|+ Serviço de suporte remoto.||Antigo cliente da Hinfotec.||* 28/10/2024: cliente migrou do Anual Ponto Offline sem Nuvem p/ Secullum Web Pro ( Até 40  funcionários ativos ) 3 CNPJS.|> Os pagamentos serão feitos considerando as 3 primeiras parcelas do anual de R$ 321,80 e as 9 subsequentes no valor de R$ 264,73 (considerando um valor total de R$ 3.348,00.) serão feitos no CNPJ 09602795000182.|ATENÇÃO: Este Contrato não vai renovar, apenas o contrato mensal."
"2675";"08512037000615 - GHISOLFI LOGI";"GHISOLFI LOGISTICA E TRANSPORTE S/A";;"Financeiro";;"suporte@ghisolfi.com.bradm@ghisolfi.com.brjennifer.borges@ghisolfi.com.brti@ghisolfi.com.br";"Ata - Mensal Ponto Web (MIGROU PARA O 2962)";"CANCELADO";"Ponto Secullum";"06/07/2024";"06/07/2025";"04/11/2024 20:22";"06/07/2025";"Descrição: Manutenção ao licenciamento do software de gerenciamento de ponto.||03/12/2024 - alterado cnpj para faturamento passando para CNPJ 43243228000115.MIGROU PARA O 2962|28/02/2024 - Aumento de +40 funcionários, passando de 80 para até 120 funcionários ativos. Acréscimo de R$ 180,00, passando de R$ 360,00 para o valor mensal de R$ 540,00.|22/02/2024 - Migração do software passando de Offline para o Ponto Secullumm Web Pro ( 80 Funcionários ). Redução de R$ 125,35, passando de R$ 485,35 para o valor mensal de R$ 360,00.||Anterior:|+ Locação Mensal de suporte remoto ao Ponto Secullum 4|+ Não possui visita técnicas.|+ Atende aos CNPJs: 08.512.037/0006-15, 08.512.037/0007-04 e 08.512.037/0009-68.||+ Efetuado o Aditivo Contratual em 18/09/2020 incluindo o CNPJ 08.512.037/0022-35 (Aracaju-SE) com valor de R$ 99,00.|+ Efetuado o Aditivo Contratual em 01/10/2020 incluindo o CNPJ 08.512.037/0010-00 (Estância-SE) com valor de R$ 99,00."
"2409";"27053685000190_MAGISTRADOS";"ASSOCIACAO DOS MAGISTRADOS DO ESPIRITO SANTO";;"financeiro";"273345-9707.";"financeiro@amages.org.brnfs@atasistemas.com.br";"Ata - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"15/01/2024";"15/01/2027";"04/11/2024 20:22";"15/01/2027";"Ponto Secullum WEB - atualizações de recursos + Backups + suporte técnico remoto até 50 funcionários.||LINHA DO TEMPO|19/01/2026- Reajuste de contrato IGPM deflação.|22/01/2025 REAJUSTE DE CONTRATO IGPM 6,53% PASSANDO DE 206,61 PARA 220,11."
"2748";"27016518000170 AUTO POSTO";"AUTO POSTO CONTORNO LTDA";;"financeiro";"27998403366";"ap.ltda@uol.com.brnfs@atasistemas.com.br";"Ata - Mensal Ponto Offline sem Nuvem";"ATIVO";"Ponto Secullum";"10/09/2024";"10/09/2026";"04/11/2024 20:22";"10/09/2026";"Ponto 4 + Suporte Remoto (+- 20 funcionários)|Contrato Manutenção de Sistema de Ponto ||LINHA DO TEMPO|08/09/2025 - REAJUSTE DE CONTRATO PELO IGPM 3,03% PASSANDO DE 108,84 PARA 112,14."
"2282";"08601055710_CARLOSMAGNUS";"CARLOS MAGNUS CALIMAN BERGER";;"Elaine";"2732631407";"financeiro@nutrisamal.com.brjosias@nutrisamal.com.brnutrisamal@hotmail.commonica@nutrisamal.com.brnfs@atasistemas.com.br";"R$177,00 / Ata - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"06/10/2023";"06/10/2026";"04/11/2024 20:22";"06/10/2026";"Ponto 4 + Mod Nuvem + Suporte - Negociação especial 4 CNPJ/MEI|* 13/12/2023 - Esse contrato está vinculado ao banco de dados do CNPJ 22619622000135 - INDUSTRIA DE RAÇÕES SANTA MARIA EIRELI. Estão integrados no BD do Ponto Web os CNPJ |086.010.557-10 - C||06/06/2025 -  Contrato 2264 ATA, acrescentando R$ 100,00 nas próximas parcelas considerando o rateio entre os CNPJs (R$ 16,67 para cada).|086.010.557-10 - CARLOS MAGNUS CALIMAN BERGER | CONTRATO 2282 | R$ 160,33 para R$ 177,00|343.243.057-49 - LOURIVAL BERGER | CONTRATO 2383 | R$ 53,51 para R$ 70,18|122.690.487-41 - HUANNA K. BERGER BERGER | CONTRATO 2281 | R$ 53,51 para R$ 70,18|22.619.622/0001-35 - INDUSTRIA DE RAÇÕES SANTA MARIA EIRELI | CONTRATO 2264 | R$ 53,51 para R$ 70,18|07.626.509/0001-93 - SAMAJ EMBALAGENS EIRELI | CONTRATO 2385 | R$ 108,67 para R$ 125,34|22.619.361/0001-53 - LOURIVAL BERGER LTDA | CONTRATO 2933 | R$ 42,53 para R$ 59,20"
"2608";"20498108000163 EDIF. FELLINI";"CONDOMINIO DO EDIFICIO FELLINI";;"financeiro";"3140-1692";"condominio@contacel.com.brnfs@atasistemas.com.br";"Ata - Anual Ponto Offline sem Nuvem";"CANCELADO";"Ponto Secullum Anual";"03/02/2024";"02/02/2027";"04/11/2024 20:22";"03/02/2027";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Anual do Ponto Secullum 4 sem Módulo Web Nuvem|- Serviço técnico de apoio e suporte remoto.||LINHA DO TEMPO|18/02/2025- cliente solicitou cancelamento do contrato e faturamento.|10/02/2026- reajuste anual de 4,26%, conforme índice IPCA acumulado dos últimos 12 meses / Passando para para R$ 1.074,83.|11/02/2025: renovado sem reajuste."
"2425";"39264064000135_QUARTIER CENTER";"CONDOMINIO EDIFICIO QUARTIER CENTER";;"financeiro";"2799942-5169";"pennaadmass@gmail.comnfs@atasistemas.com.br";"Contrato Mensal Suporte e Manutenção - On Site";"ATIVO";"Acesso Manutenção";"24/02/2024";"24/02/2027";"04/11/2024 20:22";"24/02/2027";"Descrição: Locação de equipamentos de controle de acesso.|Renovação do contrato 427.|Contrato Mensal de Suporte e Manutenção On Site.   Objeto: ID BOX e Software.||LINHA DO TEMPO|28/01/2026 - Renovação de contrato com deflação permanece o mesmo valor.|- Aditivo contratual firmado em 11/03/2020.|R$ 212,49 contrato original + R$ 133,65 referente ao software Secullum Acesso.Net (200 P / 01 E)|03/02/2025- REAJUSTE DE CONTRATO PELO IGPM 6,74% - PASSANDO DE 421,00 PARA 450,29.|"
"2747";"05039314000111 CONST ANA";"CONSTRUTORA ANA CLARA LTDA";;"financeiro";"27 3720-1504";"rh@grupoanaclara.com.brfinanceiro@grupoanaclara.com.brnfs@atasistemas.com.br";"Ata - Mensal Ponto Offline sem Nuvem";"ATIVO";"Ponto Secullum";"10/09/2024";"10/09/2026";"04/11/2024 20:22";"10/09/2026";"Contrato Mensal Ponto 4 -|* 05/07/2022: Upgrade da licença considerando o limite para até 75 funcionários ativos.|O banco de dados contém as empresas:|05039314000111 — CONSTRUTORA ANA CLARA EIRELI|16776145000119 — J.P. PREMOLDADOS LTDA||LINHA DO TEMPO|10/09/2025- REAJUSTE DE CONTRATO PELO IGPM 3,03% PASSANDO DE 145,40 PARA 149,81."
"2503";"00840621000183 DONIEDA";"DONIEDA ALIMENTOS LTDA";;"financeiro";"(27)99958-4852";"gumercindobrazcorona@gmail.comgmgpanificadora@gmail.comnfs@atasistemas.com.br";"Ata - Locação Mensal Acesso com Suporte Remoto";"ATIVO";"Acesso Locação SW + Manutenção";"15/03/2024";"15/03/2027";"04/11/2024 20:22";"15/03/2027";"Descrição: Contrato de manutenção a sistema de ponto de controle de acesso.||LINHA DO TEMPO|11/03/2026- Reajuste de contrato pelo IGPM ( DEFLAÇÂO) permanece mesmo valor.|11/03/2025- Renovado contrato pelo IGPM 8,44%  PASSANDO DE 211,97 PARA 229,87|02/2022 - Cliente alterou o modo de pagamento passando de anual para mensal.|Restaurante do IFES de Santa Teresa.|- Licença Mensal do Secullum Acesso.Net ( 2000 pessoas / 02 equipamentos )|- Serviço técnico de apoio e suporte remoto."
"2281";"12269048741_HUANNA";"HUANNA K BERGER BERGER";;"JOICE";"2732632819";"josias@nutrisamal.com.brfinanceiro@nutrisamal.com.brnutrisamal@hotmail.commonica@nutrisamal.com.brnfs@atasistemas.com.br";"R$ 70,18 / Ata - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"06/10/2023";"06/10/2026";"04/11/2024 20:22";"06/10/2026";"Ponto 4 + Mod Nuvem + Suporte Remoto - Negociação especial para 4 CNPJ/MEI|* 13/12/2023 - Esse contrato está vinculado ao banco de dados do CNPJ 22619622000135 - INDUSTRIA DE RAÇÕES SANTA MARIA EIRELI. Estão integrados no BD do Ponto Web os CNPJ |086.010||10/09/2025- REAJUSTE DE CONTRATO PELO IGPM 3,03% PASSANDO DE 70,18 PARA 72,31.|06/06/2025 -  Contrato 2264 ATA, acrescentando R$ 100,00 nas próximas parcelas considerando o rateio entre os CNPJs (R$ 16,67 para cada).|086.010.557-10 - CARLOS MAGNUS CALIMAN BERGER | CONTRATO 2282 | R$ 160,33 para R$ 177,00|343.243.057-49 - LOURIVAL BERGER | CONTRATO 2383 | R$ 53,51 para R$ 70,18|122.690.487-41 - HUANNA K. BERGER BERGER | CONTRATO 2281 | R$ 53,51 para R$ 70,18|22.619.622/0001-35 - INDUSTRIA DE RAÇÕES SANTA MARIA EIRELI | CONTRATO 2264 | R$ 53,51 para R$ 70,18|07.626.509/0001-93 - SAMAJ EMBALAGENS EIRELI | CONTRATO 2385 | R$ 108,67 para R$ 125,34|22.619.361/0001-53 - LOURIVAL BERGER LTDA | CONTRATO 2933 | R$ 42,53 para R$ 59,20|"
"2264";"22619622000135_RACOES SANTA MA";"INDUSTRIA DE RACOES SANTA MARIA LTDA";;"financeiro";"2799234-3864";"financeiro@nutrisamal.com.brjosias@nutrisamal.com.brnutrisamal@hotmail.commonica@nutrisamal.com.brnfs@atasistemas.com.br";"R$ 70,18 / Ata - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"06/10/2023";"06/10/2026";"04/11/2024 20:22";"06/10/2026";"Ponto 4 + Mod Nuvem + SUporte - Negociação especial 4 CNPJ/MEI.|.|*17/10/2023 -  Upgrade de +10 funcionários no Ponto Secullum Web, passando de 70 para 80 funcionários ativos.|- O faturamento e envio dos boletos referente ao aditivo (orçamento 20926) será no CNPJ 22619361000153  LOURIVAL BERGER. Excluir as parcelas não processadas do contrato 2264 (SIGE), retornando para o valor de R$51,20 mensal.|- Inserir o processo na planilha de faturamento mensal.|LINHA DO TEMPO|14/10/2025 -  Reajuste de contrato pelo IGPM 2,82% passando de 70,18 para 72,16|* 13/12/2023 - Esse contrato está vinculado ao banco de dados do CNPJ 22619622000135 - INDUSTRIA DE RAÇÕES SANTA MARIA EIRELI. Estão integrados no BD do Ponto Web os CNPJ |086.010.557-10 - CARLOS MAGNUS CALIMAN BERGER|343.243.057-49 - LOURIVAL BERGER|122.690.487-41 - HUANNA K. BERGER BERGER|22.619.622/0001-35 - INDUSTRIA DE RAÇÕES SANTA MARIA EIRELI|07.626.509/0001-93 - SAMAJ EMBALAGENS EIRELI|22.619.361/0001-53 - LOURIVAL BERGER LTDA|29.754.042/0001-08 - NSM RURAL LTDA|- O faturamento é separado para cada um deles e o totalizador está de acordo com a tabela vigente.||06/06/2025 -  Contrato 2264 ATA, acrescentando R$ 100,00 nas próximas parcelas considerando o rateio entre os CNPJs (R$ 16,67 para cada).|086.010.557-10 - CARLOS MAGNUS CALIMAN BERGER | CONTRATO 2282 | R$ 160,33 para R$ 177,00|343.243.057-49 - LOURIVAL BERGER | CONTRATO 2383 | R$ 53,51 para R$ 70,18|122.690.487-41 - HUANNA K. BERGER BERGER | CONTRATO 2281 | R$ 53,51 para R$ 70,18|22.619.622/0001-35 - INDUSTRIA DE RAÇÕES SANTA MARIA EIRELI | CONTRATO 2264 | R$ 53,51 para R$ 70,18|07.626.509/0001-93 - SAMAJ EMBALAGENS EIRELI | CONTRATO 2385 | R$ 108,67 para R$ 125,34|22.619.361/0001-53 - LOURIVAL BERGER LTDA | CONTRATO 2933 | R$ 42,53 para R$ 59,20|"
"249";"01936248000121 MULTIVIX";"EMPRESA BRASILEIRA DE ENSINO PESQUISA E EXTENSAO S/A - MULTIVIX";;"Instituição de Ensino";"(27) 3335-5666";"multivix@multivix.edu.br";"TERMO CONVÊNIO DE ESTÁGIO - MULTIVIX";"ATIVO";"Outros Anual";"03/11/2025";"03/11/2027";"03/11/2025 16:12";"03/11/2027";"Contrato registrado para renovação a cada 02 anos - sem faturamento"
"247";"05038925000145 - EUROTEXTIL CO";"EUROTEXTIL COMERCIO E IMPORTACAO LTDA";;"Thais";"27 99847-3466";"compras.suprimentos@eurotextil.com.brnfs@atasistemas.com.br";"Valor R$ 990,00 I Mensal I Secullum Acesso Web | (600P | 6 Equip)";"ATIVO";"Outros Mensal";"08/10/2025";"08/10/2026";"24/10/2025 12:30";"08/10/2026";"Assistência Técncia ao Sistema de Acesso:||Software de Secullum Acesso Web (600 pessoas ativas e 6 Equipamentos)"
"251";"43401106000100 SABOR CASEIRO";"SABOR CASEIRO LTDA";;"Matheus";"(27) 99711-0919";"matheus.guisolpe@hotmail.comnfs@atasistemas.com.br";"VALOR R$119,00 - (MENSAL) Software TopPonto Web 10F";"ATIVO";"Outros Mensal";"01/12/2025";"01/12/2026";"05/12/2025 14:30";"01/12/2026";"Sistema de Ponto:||- Licença mensal do Software TopPonto Web (até 10 Funcionários)."
